tenant1,tenant2,correlation,metric,phase
tenant-cpu,tenant-dsk,0.22058626239574258,cpu_usage,1-Baseline
tenant-cpu,tenant-mem,0.3045368156202463,cpu_usage,1-Baseline
tenant-cpu,tenant-ntk,0.18320819450908313,cpu_usage,1-Baseline
tenant-dsk,tenant-mem,0.14165304152678826,cpu_usage,1-Baseline
tenant-dsk,tenant-ntk,-0.22240293244768386,cpu_usage,1-Baseline
tenant-mem,tenant-ntk,0.26624796888130775,cpu_usage,1-Baseline
tenant-cpu,tenant-dsk,0.2505225837332405,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-mem,0.6424421120542456,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-nsy,-0.5370592595897342,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-ntk,0.321068372775832,cpu_usage,2-CPU-Noise
tenant-dsk,tenant-mem,0.3072126431008717,cpu_usage,2-CPU-Noise
tenant-dsk,tenant-nsy,-0.051364053611648725,cpu_usage,2-CPU-Noise
tenant-dsk,tenant-ntk,0.3370223042066658,cpu_usage,2-CPU-Noise
tenant-mem,tenant-nsy,-0.5137387194716532,cpu_usage,2-CPU-Noise
tenant-mem,tenant-ntk,0.36688821465924465,cpu_usage,2-CPU-Noise
tenant-nsy,tenant-ntk,0.07572073519822915,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-dsk,0.18191210103419236,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-mem,0.3974653251595392,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-nsy,-0.20260519100539467,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-ntk,0.3867912543414738,cpu_usage,3-Memory-Noise
tenant-dsk,tenant-mem,0.27570164724278334,cpu_usage,3-Memory-Noise
tenant-dsk,tenant-nsy,-0.06509559489398886,cpu_usage,3-Memory-Noise
tenant-dsk,tenant-ntk,0.23051321031201294,cpu_usage,3-Memory-Noise
tenant-mem,tenant-nsy,-0.27915090382963453,cpu_usage,3-Memory-Noise
tenant-mem,tenant-ntk,0.29655071536015765,cpu_usage,3-Memory-Noise
tenant-nsy,tenant-ntk,0.1680002966735609,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-dsk,0.1749636059507172,cpu_usage,4-Network-Noise
tenant-cpu,tenant-mem,0.7087102182433047,cpu_usage,4-Network-Noise
