tenant1,tenant2,correlation,metric,phase
tenant-cpu,tenant-dsk,0.3776427821891483,cpu_usage,1-Baseline
tenant-cpu,tenant-mem,0.40215890617036343,cpu_usage,1-Baseline
tenant-cpu,tenant-ntk,-0.2529642477546918,cpu_usage,1-Baseline
tenant-dsk,tenant-mem,0.33029538603483694,cpu_usage,1-Baseline
tenant-dsk,tenant-ntk,-0.4344988259098595,cpu_usage,1-Baseline
tenant-mem,tenant-ntk,-0.004029435652954749,cpu_usage,1-Baseline
tenant-cpu,tenant-dsk,0.09376347013695009,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-mem,0.5700874735225313,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-nsy,-0.4375229781235487,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-ntk,0.31844654346558127,cpu_usage,2-CPU-Noise
tenant-dsk,tenant-mem,0.1368091737014471,cpu_usage,2-CPU-Noise
tenant-dsk,tenant-nsy,0.0457880334842464,cpu_usage,2-CPU-Noise
tenant-dsk,tenant-ntk,0.29756285595396853,cpu_usage,2-CPU-Noise
tenant-mem,tenant-nsy,-0.38834625835186487,cpu_usage,2-CPU-Noise
tenant-mem,tenant-ntk,0.31408647192577616,cpu_usage,2-CPU-Noise
tenant-nsy,tenant-ntk,0.1689118396741325,cpu_usage,2-CPU-Noise
tenant-cpu,tenant-dsk,0.19542257665006835,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-mem,0.40400214336487383,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-nsy,-0.21572041898713648,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-ntk,0.307749758603197,cpu_usage,3-Memory-Noise
tenant-dsk,tenant-mem,0.03906357905414418,cpu_usage,3-Memory-Noise
tenant-dsk,tenant-nsy,0.11067436323369113,cpu_usage,3-Memory-Noise
tenant-dsk,tenant-ntk,0.2003868335741598,cpu_usage,3-Memory-Noise
tenant-mem,tenant-nsy,-0.23422149463601794,cpu_usage,3-Memory-Noise
tenant-mem,tenant-ntk,0.3558667989743903,cpu_usage,3-Memory-Noise
tenant-nsy,tenant-ntk,0.11346672413769046,cpu_usage,3-Memory-Noise
tenant-cpu,tenant-dsk,-0.13958527730800716,cpu_usage,4-Network-Noise
tenant-cpu,tenant-mem,0.712453689891537,cpu_usage,4-Network-Noise
tenant-cpu,tenant-nsy,-0.6401958695442624,cpu_usage,4-Network-Noise
tenant-cpu,tenant-ntk,0.23013050663326548,cpu_usage,4-Network-Noise
tenant-dsk,tenant-mem,-0.061265516133442346,cpu_usage,4-Network-Noise
tenant-dsk,tenant-nsy,0.32285421386490665,cpu_usage,4-Network-Noise
tenant-dsk,tenant-ntk,0.252038675885687,cpu_usage,4-Network-Noise
tenant-mem,tenant-nsy,-0.6847702704840909,cpu_usage,4-Network-Noise
tenant-mem,tenant-ntk,0.25993336681776325,cpu_usage,4-Network-Noise
tenant-nsy,tenant-ntk,0.0644133416944491,cpu_usage,4-Network-Noise
tenant-cpu,tenant-dsk,-0.024113256454404257,cpu_usage,5-Disk-Noise
tenant-cpu,tenant-mem,0.2503708792847785,cpu_usage,5-Disk-Noise
tenant-cpu,tenant-nsy,-0.006526887257539168,cpu_usage,5-Disk-Noise
tenant-cpu,tenant-ntk,0.2829496389184766,cpu_usage,5-Disk-Noise
tenant-dsk,tenant-mem,-0.02243996951184096,cpu_usage,5-Disk-Noise
tenant-dsk,tenant-nsy,0.716983901463163,cpu_usage,5-Disk-Noise
tenant-dsk,tenant-ntk,0.4312625535119719,cpu_usage,5-Disk-Noise
tenant-mem,tenant-nsy,0.04059670878752259,cpu_usage,5-Disk-Noise
tenant-mem,tenant-ntk,0.2528048673436503,cpu_usage,5-Disk-Noise
tenant-nsy,tenant-ntk,0.5131326686468545,cpu_usage,5-Disk-Noise
tenant-cpu,tenant-dsk,0.20640076091310983,cpu_usage,6-Combined-Noise
tenant-cpu,tenant-mem,0.6095180491781318,cpu_usage,6-Combined-Noise
